dll_name,registration_call_address,interface_uuid,interface_address,flags,security_callback,has_security_descriptor,global_caching_enabled
DmApiSetExtImplDesktop.dll,0x180006a71,b50bf410-9fc9-4a20-ab6d-9c7453fe8f94,0x18000c3e0,unknown,0,True,unknown
dnsrslvr.dll,0x180016519,30adc50c-5cbc-46ce-9a0e-91914789e23c,0x18004a000,unknown,0x180012de0,False,unknown
dnsrslvr.dll,0x18003f6c6,ba26f803-f095-40e9-b5e1-0afc44e18479,0x18004a2c0,0x11,0x18003f5b0,False,True
dnsrslvr.dll,0x180017331,45776b01-5956-4485-9f80-f428f7d60129,0x18004a060,0x29,0x180013000,True,True
dot3svc.dll,0x18000958e,1bddb2a6-c0c3-41be-8703-ddbdf4f0e80a,0x18003b200,0x29,0x180008b70,False,True
dpapisrv.dll,0x180025f48,3dde7c30-165d-11d1-ab8f-00805f14db40,0x180034480,0x9,0x180024600,False,True
dpapisrv.dll,0x18000df6e,11220835-5b26-4d94-ae86-c3e475a809de,0x180033080,0x21,0x18000d100,False,True
dpapisrv.dll,0x18000dfab,5cbe92cb-f4be-45c9-9fc9-33e73e557b20,0x180033020,unknown,0x18000d100,True,unknown
dpapisrv.dll,0x18000e0c7,7f1317a8-4dea-4fa2-a551-df5516ff8879,0x1800330e0,unknown,0x180031bd0,False,unknown
dsrolesrv.dll,0x18001e2fa,1cbcad78-df0b-4934-b558-87839ea501c9,0x180031b50,unknown,0x18001e230,False,unknown
dssvc.dll,0x1800152d5,bf4dc912-e52f-4904-8ebe-9317c1bdd497,0x18001a8a0,0x29,0,False,True
edgehtml.dll,0x180d50a13,unknown,unknown,0x29,0x180d50890,True,True
efslsaext.dll,0x180001ccf,c681d488-d850-11d0-8c52-00c04fd90f7e,0x180011880,0x1,0,False,True
embeddedmodesvc.dll,0x18000783d,f0c68743-5631-4289-8aad-37e5e64d843f,0x18001e820,0x29,0x0,False,True
FrameServer.dll,0x180008fc7,6ddfc7d1-7fca-44eb-a279-e9988f4db32b,0x1800e6be0,unknown,0x0,False,unknown
FrameServer.dll,0x180008ffd,6ddfc7d1-7fca-44eb-a279-e9988f4db32b,0x1800e6be0,unknown,0,False,unknown
FrameServerMonitor.dll,0x180008c01,be0d95ba-21a5-4a5f-a1f0-9ada84ac1144,0x180039820,0x9,0x0,False,True
FrameServerMonitor.dll,0x180008c36,be0d95ba-21a5-4a5f-a1f0-9ada84ac1144,0x180039820,0x9,0,False,True
FsIso.exe,0x140002afc,e0606e56-2380-422f-a66f-ae6b71b85832,0x1400105f0,0,,False,True
